Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Becker C.G., Longo A.V., Haddad C.F.B., Zamudio K.R.","23090520500;22953960000;7006168751;6603683897;","Land cover and forest connectivity alter the interactions among host, pathogen and skin microbiome",2017,"Proceedings of the Royal Society B: Biological Sciences","284","1861", 20170582,"","",,28,"10.1098/rspb.2017.0582","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028334839&doi=10.1098%2frspb.2017.0582&partnerID=40&md5=632ac55e1544bb010ce09e5550a0e369","Universidade Estadual Paulista, Instituto de Biociĕncias, Departamento de Zoologia and Centro de Aquicultura (CAUNESP), Rio Claro, SP  13506-900, Brazil; Department of Biology, University of Maryland, College Park, MD  20742, United States; Department of Ecology and Evolutionary Biology, Cornell University, Ithaca, NY  14853, United States","Becker, C.G., Universidade Estadual Paulista, Instituto de Biociĕncias, Departamento de Zoologia and Centro de Aquicultura (CAUNESP), Rio Claro, SP  13506-900, Brazil; Longo, A.V., Department of Biology, University of Maryland, College Park, MD  20742, United States; Haddad, C.F.B., Universidade Estadual Paulista, Instituto de Biociĕncias, Departamento de Zoologia and Centro de Aquicultura (CAUNESP), Rio Claro, SP  13506-900, Brazil; Zamudio, K.R., Department of Ecology and Evolutionary Biology, Cornell University, Ithaca, NY  14853, United States","Deforestation has detrimental consequences on biodiversity, affecting species interactions at multiple scales. The associations among vertebrates, pathogens and their commensal/symbiotic microbial communities (i.e. microbiomes) have important downstream effects for biodiversity conservation, yet we know little about how deforestation contributes to changes in host microbial diversity and pathogen abundance. Here, we tested the effects of landcover, forest connectivity and infection by the chytrid fungus Batrachochytrium dendrobatidis (Bd) on amphibian skin bacterial diversity along deforestation gradients in Brazilian landscapes. If disturbance to natural habitat alters skin microbiomes as it does in vertebrate host communities, then we would expect higher host bacterial diversity in natural forest habitats. Bd infection loads are also often higher in these closed-canopy forests, which may in turn impact skin-associated bacterial communities. We found that forest corridors shaped composition of host skin microbiomes; high forest connectivity predicted greater similarity of skin bacterial communities among host populations. In addition, we found that host skin bacterial diversity and Bd loads increased towards natural vegetation. Because symbiotic bacteria can potentially buffer hosts from Bd infection, we also evaluated the bi-directional microbiome-Bd link but failed to find a significant effect of skin bacterial diversity reducing Bd infections. Although weak, we found support for Bd increasing bacterial diversity and/or for core bacteria dominance reducing Bd loads. Our research incorporates a critical element in the study of host microbiomes by linking environmental heterogeneity of landscapes to the host-pathogen-microbiome triangle. © 2017 The Author(s) Published by the Royal Society. All rights reserved.","Biodiversity; Chytrid; Deforestation; Microbial diversity; Spatial connectivity","Amphibia; Bacteria (microorganisms); Batrachochytrium dendrobatidis; Fungi; Vertebrata; Amphibia; animal; bacterium; biodiversity; Brazil; Chytridiomycetes; classification; forest; host pathogen interaction; microbiology; microflora; pathogenicity; skin; Amphibians; Animals; Bacteria; Biodiversity; Brazil; Chytridiomycota; Forests; Host-Pathogen Interactions; Microbiota; Skin",Article,"Final","",Scopus,2-s2.0-85028334839
"Ferrer A.J.G., Pomeroy R., Akester M.J., Muawanah U., Chumchuen W., Lee W.C., Hai P.G., Viswanathan K.K.","56150887500;7005913193;57188739061;55220208100;57188566635;57223112384;57223114095;7101887782;","Covid-19 and small-scale fisheries in southeast asia: Impacts and responses",2021,"Asian Fisheries Science","34","1",,"99","113",,,"10.33997/j.afs.2021.34.1.011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104825330&doi=10.33997%2fj.afs.2021.34.1.011&partnerID=40&md5=a3dd3fda12257e7366a96f813d756e0f","University of the Philippines Visayas, Miagao, Iloilo, 5023, Philippines; University of Connecticut, 1080 Shennecossett Road, Groton, CT  06340, United States; WorldFish, Yangon, Myanmar; Republik Indonesia Kementerian Kelautan dan Perikanan – BRSDMKP, Gedung Balitbang I, 4thFloor, Jln Pasir Putih I, Ancol Jakarta Utara, Jakarta, 10100, Indonesia; Marine Fisheries Research and Development Division, Department of Fisheries, 50 Phahol Yothin Rd., Lad Yao, Chatuchak, Bangkok, 10900, Thailand; Universiti Teknologi MARA, Sarawak, Malaysia; Rural Institution Research, Institute of Policy and Strategy for Agriculture and Rural Development, No.16 Thuy Khue Street, Hanoi, 100000, Viet Nam; Othman Yeop Abdullah Graduate School of Business, Universiti Utara Malaysia, Sintok, Kedah, Malaysia","Ferrer, A.J.G., University of the Philippines Visayas, Miagao, Iloilo, 5023, Philippines; Pomeroy, R., University of Connecticut, 1080 Shennecossett Road, Groton, CT  06340, United States; Akester, M.J., WorldFish, Yangon, Myanmar; Muawanah, U., Republik Indonesia Kementerian Kelautan dan Perikanan – BRSDMKP, Gedung Balitbang I, 4thFloor, Jln Pasir Putih I, Ancol Jakarta Utara, Jakarta, 10100, Indonesia; Chumchuen, W., Marine Fisheries Research and Development Division, Department of Fisheries, 50 Phahol Yothin Rd., Lad Yao, Chatuchak, Bangkok, 10900, Thailand; Lee, W.C., Universiti Teknologi MARA, Sarawak, Malaysia; Hai, P.G., Rural Institution Research, Institute of Policy and Strategy for Agriculture and Rural Development, No.16 Thuy Khue Street, Hanoi, 100000, Viet Nam; Viswanathan, K.K., Othman Yeop Abdullah Graduate School of Business, Universiti Utara Malaysia, Sintok, Kedah, Malaysia","This paper describes the impacts of and responses to COVID-19 of small-scale fisheries in six selected countries in Southeast Asia, including Indonesia, Malaysia, Myanmar, Philippines, Thailand, and Vietnam. The paper used a structured case study approach to analyse the impacts and responses and relied heavily on existing reports and data sources in each country. The pandemic has further revealed the vulnerability of small-scale fishing households in the region. Given the few assets of fisher households, their ability to cushion the negative impact of crises and shocks is limited. Fishers made adaptive responses such as direct fish marketing, online marketing, and home delivery services. While short-term responses of providing food and financial assistance have been helpful, long-term support to address pandemics such as COVID-19 and other stressors will require developing more resilient fishing households. The paper recommends several approaches and interventions to improve household resilience and to be better prepared for similar challenges and threats in the future. These include: i) strengthening the fishing households’ social network of friends, relatives, and neighbours to serve as both a social safety net and a bridge towards the transition to financial inclusion; ii) diversifying livelihood to reduce dependency on the fishery and provide for additional sources of income and food; iii) promoting financial inclusion through savings, credit, digital payment products, and insurance; iv) value chain upgrading through post-harvest fish handling and processing methods; and, v) providing access, especially for women, to social protection measures such as government health insurance and social security. © Asian Fisheries Society.","Coastal livelihood; Coping; Fishers; Pandemic; Vulnerability",,Article,"Final","",Scopus,2-s2.0-85104825330
"Fujita R.M., Honey K.T., Morris A., Wilson J.R., Russell H.","7103049277;36182281800;36182619500;16033576100;36182507100;","Cooperative strategies in fisheries management: Integrating across scales",2010,"Bulletin of Marine Science","86","2",,"251","271",,10,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77952216667&partnerID=40&md5=59d5c4bb0803f8e184460fe8cbfb9cbc","Environmental Defense Fund, Ocean Innovations, Oceans Program, 123 Mission St., San Francisco, CA 94105, United States; Stanford University, Interdisciplinary Graduate Program in Environment and Resources (IPER), School of Earth Sciences and Hopkins Marine Station, 120 Ocean View Blvd., Pacific Grove, CA 93950, United States; University of North Carolina at Wilmington, Department of Public and International Affairs in partnership with National Marine Fisheries Service, 110 Schaffer Rd., Santa Cruz, CA 95060, United States; Bren School of Environmental Science and Management, University of California, Santa Barbara, CA 93107, United States","Fujita, R.M., Environmental Defense Fund, Ocean Innovations, Oceans Program, 123 Mission St., San Francisco, CA 94105, United States; Honey, K.T., Stanford University, Interdisciplinary Graduate Program in Environment and Resources (IPER), School of Earth Sciences and Hopkins Marine Station, 120 Ocean View Blvd., Pacific Grove, CA 93950, United States; Morris, A., University of North Carolina at Wilmington, Department of Public and International Affairs in partnership with National Marine Fisheries Service, 110 Schaffer Rd., Santa Cruz, CA 95060, United States; Wilson, J.R., Bren School of Environmental Science and Management, University of California, Santa Barbara, CA 93107, United States; Russell, H., Environmental Defense Fund, Ocean Innovations, Oceans Program, 123 Mission St., San Francisco, CA 94105, United States","Fisheries management at its core is concerned with the management of human behavior. Management institutions operating at diferent spatial scales create diferent kinds of hierarchies, relationships, and incentives. Hence the scale at which management decisions are made can strongly influence their effectiveness. In the United States, top-down coast-wide control rules can create perverse harvest incentives, impose adverse social impacts, and result in poor conservation and economic performance. Some large-scale institutional changes (e.g., individual fishing quotas) have effectively realigned economic incentives of individual harvesters, but fishermen respond to a diversity of factors in addition to economic incentives, including environmental and social factors that operate primarily in small-scale U.S. fisheries or within subunits of larger-scale fisheries. Failure to address scale issues has resulted in disputes over ""best available science"" and opposition to management perceived as threatening. Small-scale cooperative strategies that empower fishing communities to strengthen local monitoring efforts and social networks are practiced throughout the world, with often impressive success, but have yet to become integrated into mainstream U.S. fisheries management. We assessed potential barriers and bridges to using cooperative strategies to improve sustainability of small-scale U.S. fisheries. We selected California's nearshore fishery to demonstrate the methods, but the analytical framework we present can be applied to many others. Of course, successful implementation will require more than good analysis. People and institutions interested in cooperative strategies must continue to assemble resources and political will to overcome the barriers to progress that exist in the United States. © 2010 Rosenstiel School of Marine and Atmospheric Science of the University of Miami.",,"environmental factor; fishery management; fishing community; harvesting; hierarchical system; human behavior; integrated approach; social impact; sustainability; top-down control; United States",Article,"Final","",Scopus,2-s2.0-77952216667
"Flitcroft R.L., Burnett K.M., Reeves G.H., Ganio L.M.","35291664900;57203195379;7102986705;6603685814;","Do network relationships matter? Comparing network and instream habitat variables to explain densities of juvenile coho salmon (Oncorhynchus kisutch) in mid-coastal Oregon, USA",2012,"Aquatic Conservation: Marine and Freshwater Ecosystems","22","3",,"288","302",,25,"10.1002/aqc.2228","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861963401&doi=10.1002%2faqc.2228&partnerID=40&md5=ae9e237671c47bb1cef69eaff05417e7","USDA Forest Service Pacific Northwest Research Station, 3200 SW Jefferson Way, Corvallis, OR 97331-8550, United States; Department of Forest Ecosystems and Society, Oregon State University, Corvallis, OR, 97331, United States","Flitcroft, R.L., USDA Forest Service Pacific Northwest Research Station, 3200 SW Jefferson Way, Corvallis, OR 97331-8550, United States; Burnett, K.M., USDA Forest Service Pacific Northwest Research Station, 3200 SW Jefferson Way, Corvallis, OR 97331-8550, United States; Reeves, G.H., Department of Forest Ecosystems and Society, Oregon State University, Corvallis, OR, 97331, United States; Ganio, L.M., Department of Forest Ecosystems and Society, Oregon State University, Corvallis, OR, 97331, United States","Aquatic ecologists are working to develop theory and techniques for analysis of dynamic stream processes and communities of organisms. Such work is critical for the development of conservation plans that are relevant at the scale of entire ecosystems. The stream network is the foundation upon which stream systems are organized. Natural and human disturbances in streams alter the configuration of stream habitats such as pools, riffles, and glides across seasons, decades, or centuries. Thus, native aquatic species have developed mechanisms for adapting to the dynamic configuration of habitats in stream networks. At different spatial scales, stream network structure informs habitat connectivity for aquatic-obligate species. The movement of aquatic species both upstream and downstream is limited by stream channels and may be modified by the downstream flow of water, nutrients, and physical materials such as wood and substrate. Analysing streams as networks offers a realistic and holistic perspective for assessing movement and distribution by freshwater aquatic species in response to life-history needs and environmental conditions. In this study, network analysis was facilitated by automating, in a Geographic Information System, the calculation of network distances and variables that represent spatial configuration. A comparison between traditional instream habitat variables and network variables for juvenile coho salmon (Oncorhynchus kisutch) in seven sub-basins of Oregon's mid-coast over a 5-year period revealed that network variables perform better at explaining juvenile coho salmon density than instream habitat variables. Moreover, analysis of network distances among seasonal habitats indicates that juvenile coho salmon density may be higher where the distance between critical seasonal habitats is short. This work furthers aquatic conservation, management, and restoration by including analysis of the proximity and connectivity among aquatic freshwater habitats. © 2012 John Wiley & Sons, Ltd.","Catchment; Conservation evaluation; Distribution; Endangered species; Fish; Stream","catchment; coastal zone; connectivity; conservation management; endangered species; environmental conditions; freshwater ecosystem; GIS; habitat restoration; holistic approach; human activity; juvenile; life history; pool; population density; riffle; salmonid; stream channel; Oregon; United States; Oncorhynchus kisutch",Article,"Final","",Scopus,2-s2.0-84861963401
"Piza-Roca C., Strickland K., Kent N., Frere C.H.","56303516000;56178608000;57211269545;24174363400;","Presence of kin-biased social associations in a lizard with no parental care: The eastern water dragon (Intellagama lesueurii)",2019,"Behavioral Ecology","30","5",,"1406","1415",,5,"10.1093/beheco/arz093","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073185023&doi=10.1093%2fbeheco%2farz093&partnerID=40&md5=c2383e2deeaecb8c8f0b5e9b878c208a","Global Change Ecology Research Group, University of the Sunshine Coast, 90 Sippy Downs Drive, Sippy-Downs, QLD  4556, Australia","Piza-Roca, C., Global Change Ecology Research Group, University of the Sunshine Coast, 90 Sippy Downs Drive, Sippy-Downs, QLD  4556, Australia; Strickland, K., Global Change Ecology Research Group, University of the Sunshine Coast, 90 Sippy Downs Drive, Sippy-Downs, QLD  4556, Australia; Kent, N., Global Change Ecology Research Group, University of the Sunshine Coast, 90 Sippy Downs Drive, Sippy-Downs, QLD  4556, Australia; Frere, C.H., Global Change Ecology Research Group, University of the Sunshine Coast, 90 Sippy Downs Drive, Sippy-Downs, QLD  4556, Australia","Numerous studies have observed kin-biased social associations in a variety of species. Many of these studies have focused on species exhibiting parental care, which may facilitate the transmission of the social environment from parents to offspring. This becomes problematic when disentangling whether kin-biased associations are driven by kin recognition, or are a product of transmission of the social environment during ontogeny, or a combination of both. Studying kin-biased associations in systems that lack parental care may aid in addressing this issue. Furthermore, when studying kin-biased social associations, it is important to differentiate whether these originate from preferential choice or occur randomly as a result of habitat use or limited dispersal. Here, we combined high-resolution single-nucleotide polymorphism data with a long-term behavioral data set of a reptile with no parental care to demonstrate that eastern water dragons (Intellagama lesueurii) bias their nonrandom social associations toward their kin. In particular, we found that although the overall social network was not linked to genetic relatedness, individuals associated with kin more than expected given availability in space and also biased social preferences toward kin. This result opens important opportunities for the study of kinship-driven associations without the confounding effect of vertical transmission of social environments. Furthermore, we present a robust multiple-step approach for determining whether kin-biased social associations are a result of active social decisions or random encounters resulting from habitat use and dispersal patterns. © 2019 The Author(s). Published by Oxford University Press on behalf of the International Society for Behavioral Ecology. All rights reserved.","home range; inclusive fitness theory; kinship structure; next-generation sequencing; social associations","dispersal; genetic analysis; habitat use; home range; inclusive fitness; kin selection; lizard; ontogeny; parental care; polymorphism; Reptilia; Saururus cernuus; Squamata",Article,"Final","",Scopus,2-s2.0-85073185023
"Stier A.C., Osenberg C.W.","25643623200;6603791253;","Propagule redirection: Habitat availability reduces colonization and increases recruitment in reef fishes",2010,"Ecology","91","10",,"2826","2832",,25,"10.1890/09-1993.1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77957727059&doi=10.1890%2f09-1993.1&partnerID=40&md5=ae69354df5036ccd2151a4621b54323e","Department of Biology, 223 Bartram Hall, University of Florida, P.O. Box 118525, Gainesville, FL 32611-8525, United States","Stier, A.C., Department of Biology, 223 Bartram Hall, University of Florida, P.O. Box 118525, Gainesville, FL 32611-8525, United States; Osenberg, C.W., Department of Biology, 223 Bartram Hall, University of Florida, P.O. Box 118525, Gainesville, FL 32611-8525, United States","Increased habitat availability or quality can alter production of habitat- dependent organisms in two contrasting ways: (1) by enhancing input of new colonists to the new sites (the Field-of-Dreams Hypothesis); and (2) by drawing colonists away from existing sites (the Propagule Redirection Hypothesis), and thus reducing the deleterious effects of density. We conducted a field experiment on coral reef fishes in Moorea, French Polynesia, to quantify how differing levels of habitat availability (controlling for quality) increased and/or redirected colonizing larval fish. Focal reefs without neighboring reefs received two to four times more settlers than reefs with adjacent habitat, demonstrating that increased habitat redirected larval fish. At the scale of the entire reef array, total colonization increased 1.3-fold in response to a sixfold increase in reef area (and a 2.75-fold increase in adjusted habitat availability). Thus, propagules were both increased and redirected, a result midway between the Field-of-Dreams and Propagule Redirection Hypotheses. A recruitment model using our data and field estimates of density-dependent recruitment predicts that habitat addition increases recruitment primarily by ameliorating the negative effects of competition at existing sites rather than increasing colonization at the new sites per se. Understanding long-term implications of these effects depends upon the interplay among habitat dynamics, population connectivity, colonization dynamics, and density dependence. © 2010 by the Ecological Society of America.","Attraction-production; Coral reefs; Density dependence; Habitat selection; Reef fish; Settlement; Settlement shadow","colonization; density dependence; fish; habitat availability; habitat selection; larval settlement; propagule; recruitment (population dynamics); reef; animal; article; ecosystem; fish; Pacific Ocean; physiology; population dynamics; reproduction; species difference; Animals; Ecosystem; Fishes; Pacific Ocean; Population Dynamics; Reproduction; Species Specificity; Moorea; Society Islands; Windward Islands [Society Islands]; Anthozoa; Pisces",Article,"Final","",Scopus,2-s2.0-77957727059
"Greenville A.C., Newsome T.M., Wardle G.M., Dickman C.R., Ripple W.J., Murray B.R.","6505710281;55608447100;6701510535;7102521104;7003774540;7401527413;","Simultaneously operating threats cannot predict extinction risk",2021,"Conservation Letters","14","1", e12758,"","",,1,"10.1111/conl.12758","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090007259&doi=10.1111%2fconl.12758&partnerID=40&md5=8d8c4c806a96d43d9fd43829e6ed5efa","School of Life and Environmental Sciences, University of Sydney, Sydney, Australia; School of Life Sciences, University of Technology Sydney, Sydney, Australia; National Environmental Science Program Threatened Species Recovery Hub, University of Sydney, Sydney, Australia; Global Trophic Cascades Program, Department of Forest Ecosystems and Society, Oregon State University, Corvallis, OR, United States","Greenville, A.C., School of Life and Environmental Sciences, University of Sydney, Sydney, Australia, School of Life Sciences, University of Technology Sydney, Sydney, Australia, National Environmental Science Program Threatened Species Recovery Hub, University of Sydney, Sydney, Australia; Newsome, T.M., School of Life and Environmental Sciences, University of Sydney, Sydney, Australia, National Environmental Science Program Threatened Species Recovery Hub, University of Sydney, Sydney, Australia; Wardle, G.M., School of Life and Environmental Sciences, University of Sydney, Sydney, Australia; Dickman, C.R., School of Life and Environmental Sciences, University of Sydney, Sydney, Australia, National Environmental Science Program Threatened Species Recovery Hub, University of Sydney, Sydney, Australia; Ripple, W.J., Global Trophic Cascades Program, Department of Forest Ecosystems and Society, Oregon State University, Corvallis, OR, United States; Murray, B.R., School of Life Sciences, University of Technology Sydney, Sydney, Australia","Species afflicted by multiple threats are thought to face greater extinction risk. However, it is not known whether multiple threats operate antagonistically, additively, or synergistically, or whether they vary across different taxonomic and spatial scales. We addressed these questions by analyzing threats to 10,378 species in six vertebrate classes at global and regional spatial scales using network analysis. The total number of threats was a poor predictor of extinction risk, and particular combinations of threats did not predict extinction risk in the same way at different spatial scales. The exception was cartilaginous fishes, which faced increased extinction risk with increasing numbers of threats. Except for cartilaginous fishes, our findings indicate that species facing more threats than others do not face a higher risk of extinction and suggest that effective conservation will require more investment in identifying how threats and different ecosystem stressors operate together at local scales. © 2020 The Authors. Conservation Letters published by Wiley Periodicals, Inc.","conservation; extinction; IUCN; multiple threats; networks",,Letter,"Final","",Scopus,2-s2.0-85090007259
"Fraley K.M., Warburton H.J., Jellyman P.G., Kelly D., McIntosh A.R.","57191096807;56703053000;25634215100;7403137598;7202722683;","Do body mass and habitat factors predict trophic position in temperate stream fishes?",2020,"Freshwater Science","39","3",,"405","414",,3,"10.1086/709131","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090251312&doi=10.1086%2f709131&partnerID=40&md5=ccc6dda9a5f300f4c2bc81ead211bda4","School of Biological Sciences, University of Canterbury, Private Bag 4800, Christchurch, 8140, New Zealand; National Institute of Water and Atmospheric Research, PO Box 8602, Christchurch, 8011, New Zealand","Fraley, K.M., School of Biological Sciences, University of Canterbury, Private Bag 4800, Christchurch, 8140, New Zealand; Warburton, H.J., School of Biological Sciences, University of Canterbury, Private Bag 4800, Christchurch, 8140, New Zealand; Jellyman, P.G., National Institute of Water and Atmospheric Research, PO Box 8602, Christchurch, 8011, New Zealand; Kelly, D., School of Biological Sciences, University of Canterbury, Private Bag 4800, Christchurch, 8140, New Zealand; McIntosh, A.R., School of Biological Sciences, University of Canterbury, Private Bag 4800, Christchurch, 8140, New Zealand","In animals with indeterminate growth, such as predatory fishes, mouth size is related to, and increases with, body mass of the organism. As fishes grow in body size, they can consume larger-bodied prey items at potentiallyhigher trophic levels. Therefore, body size should predict trophic position. Trophic position (TP) is useful for describing energy flow between biota, giving a more comprehensive picture of aquatic food webs, but the factors that influence the body-size–TP relationship are unclear. Additionally, stable isotope-derived TP and body-size relationships are untested for temperate freshwater fishes. Using linear mixed-effects models, we tested fish body mass as a predictor of TP across 6 species of temperate freshwater fish (n 5 921 total individuals) sampled from 110 stream reaches in New Zealand, and we evaluated habitat factors (flood disturbance and stream size) likely to affect trophic structure of stream fish assemblages. Supporting ecological theory, but contrasting with some previous findings in marine and tropical environments, we found that TP was positively associated with body size across all species. Habitat factors did not affect fish TP. However, stream network spatial factors included in models as random effects explained the majority of variance in TP across species. Thus, while our study shows that New Zealand temperate freshwater fish body size is positively associated with stable isotope-derived TP, researchers will need to account for catchment-specific spatial factors to make accurate inferences about TP based on body size. © 2020 by The Society for Freshwater Science.","Conservation; Fish assemblages; Food webs; Non-native species; Rivers; Stable isotope analysis; Trophic ecology","bioenergetics; body mass; body size; energy flow; freshwater ecosystem; isotopic composition; prediction; prey availability; stream channel; trophic interaction; tropical region; New Zealand; Animalia; Pisces",Article,"Final","",Scopus,2-s2.0-85090251312
"Teitelbaum C.S., Hepinstall-Cymerman J., Kidd-Weaver A., Hernandez S.M., Altizer S., Hall R.J.","56703682100;37067204700;57211660766;35272040400;6701756957;57210788150;","Urban specialization reduces habitat connectivity by a highly mobile wading bird",2020,"Movement Ecology","8","1", 49,"","",,,"10.1186/s40462-020-00233-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097239195&doi=10.1186%2fs40462-020-00233-7&partnerID=40&md5=d073b598593b561a6c19ede83e625e33","Odum School of Ecology, University of Georgia, Athens, GA, United States; Warnell School of Forestry and Natural Resources, University of Georgia, Athens, GA, United States; Present address: College of Agriculture, Forestry and Life Sciences, Clemson University, Clemson, SC, United States; Southeastern Cooperative Wildlife Disease Study, College of Veterinary Medicine, University of Georgia, Athens, GA, United States; Department of Infectious Diseases, College of Veterinary Medicine, University of Georgia, Athens, GA, United States","Teitelbaum, C.S., Odum School of Ecology, University of Georgia, Athens, GA, United States; Hepinstall-Cymerman, J., Warnell School of Forestry and Natural Resources, University of Georgia, Athens, GA, United States; Kidd-Weaver, A., Warnell School of Forestry and Natural Resources, University of Georgia, Athens, GA, United States, Present address: College of Agriculture, Forestry and Life Sciences, Clemson University, Clemson, SC, United States; Hernandez, S.M., Warnell School of Forestry and Natural Resources, University of Georgia, Athens, GA, United States, Southeastern Cooperative Wildlife Disease Study, College of Veterinary Medicine, University of Georgia, Athens, GA, United States; Altizer, S., Odum School of Ecology, University of Georgia, Athens, GA, United States; Hall, R.J., Odum School of Ecology, University of Georgia, Athens, GA, United States, Department of Infectious Diseases, College of Veterinary Medicine, University of Georgia, Athens, GA, United States","Background: Mobile animals transport nutrients and propagules across habitats, and are crucial for the functioning of food webs and for ecosystem services. Human activities such as urbanization can alter animal movement behavior, including site fidelity and resource use. Because many urban areas are adjacent to natural sites, mobile animals might connect natural and urban habitats. More generally, understanding animal movement patterns in urban areas can help predict how urban expansion will affect the roles of highly mobile animals in ecological processes. Methods: Here, we examined movements by a seasonally nomadic wading bird, the American white ibis (Eudocimus albus), in South Florida, USA. White ibis are colonial wading birds that forage on aquatic prey; in recent years, some ibis have shifted their behavior to forage in urban parks, where they are fed by people. We used a spatial network approach to investigate how individual movement patterns influence connectivity between urban and non-urban sites. We built a network of habitat connectivity using GPS tracking data from ibis during their non-breeding season and compared this network to simulated networks that assumed individuals moved indiscriminately with respect to habitat type. Results: We found that the observed network was less connected than the simulated networks, that urban-urban and natural-natural connections were strong, and that individuals using urban sites had the least-variable habitat use. Importantly, the few ibis that used both urban and natural habitats contributed the most to connectivity. Conclusions: Habitat specialization in urban-acclimated wildlife could reduce the exchange of propagules and nutrients between urban and natural areas, which has consequences both for beneficial effects of connectivity such as gene flow and for detrimental effects such as the spread of contaminants or pathogens. © 2020, The Author(s).","American white ibis (Eudocimus albus); Connectivity; Habitat specialization; Network; Nomadism; Urbanization; Wildlife",,Article,"Final","",Scopus,2-s2.0-85097239195
"Schweitzer C., Lévy F., Arnould C.","30067772700;57203069396;6603803076;","Increasing group size decreases social bonding in young Japanese quail, Coturnix japonica",2011,"Animal Behaviour","81","3",,"535","542",,7,"10.1016/j.anbehav.2010.11.017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79851512445&doi=10.1016%2fj.anbehav.2010.11.017&partnerID=40&md5=141db0da9fe566770cd2fe19335463e6","INRA, UMR85 Physiologie de la Reproduction et des Comportements, France; CNRS, UMR6175 Physiologie de la Reproduction et des Comportements, France; Université François Rabelais de Tours, France; IFCE, France","Schweitzer, C., INRA, UMR85 Physiologie de la Reproduction et des Comportements, France, CNRS, UMR6175 Physiologie de la Reproduction et des Comportements, France, Université François Rabelais de Tours, France, IFCE, France; Lévy, F., INRA, UMR85 Physiologie de la Reproduction et des Comportements, France, CNRS, UMR6175 Physiologie de la Reproduction et des Comportements, France, Université François Rabelais de Tours, France, IFCE, France; Arnould, C., INRA, UMR85 Physiologie de la Reproduction et des Comportements, France, CNRS, UMR6175 Physiologie de la Reproduction et des Comportements, France, Université François Rabelais de Tours, France, IFCE, France","Social bonds between groupmates and social motivation can influence the stability of the social structure among domestic birds. Group size may also influence social stability, but no information is available about its influence on social bonding. We investigated the effect of group size and social motivation on the strength of social bonds between familiar Japanese quail chicks. The behaviour of quail selected for high (HSR) or low (LSR) social reinstatement behaviour and housed in different group sizes (6, 15 and 30 individuals) was recorded during two successive 10 min situations: separation and return of a cagemate or an unfamiliar conspecific. In both lines and for all group sizes, chicks formed social bonds with cagemates, shown by disturbance at separation and a greater calming effect of the return of a familiar versus an unfamiliar quail. LSR chicks might form stronger social bonds than HSR ones but our results do not allow us to conclude confidently on that point. With increasing group size, the calming effect and especially the positive social interactions decreased in both lines, indicating a weakening of the social bond between familiar conspecifics, perhaps because of the larger number of potential partners or the establishment of a tolerant social strategy based on less aggression, less time spent in contact and weaker bonds. Further investigations of the relationship between group size and social bonding in this species may allow us to determine why their social behaviour changes with increasing group size and to make more suitable social environments for domestic birds. © 2010 The Association for the Study of Animal Behaviour.","Affinity; Bird; Chick; Coturnix japonica; Genetic selection; Japanese quail; Social bonding; Social environment; Social relationship","aggression; conspecific; gamebird; group size; social network; Aves; Coturnix; Coturnix japonica; Phasianidae",Article,"Final","",Scopus,2-s2.0-79851512445
