Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,Book DOI,Early Access Date,Number of Pages,WoS Categories,Research Areas,IDS Number,UT (Unique WOS ID),Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,
J,"Moro, D; Dunlop, J; Williams, MR",,,,"Moro, Dorian; Dunlop, Judy; Williams, Matthew R.",,,Northern quoll persistence is most sensitive to survivorship of juveniles,WILDLIFE RESEARCH,,,,,,,,,,,,"Context. Projecting the population trajectory of endangered species using models requires conservation practitioners to evaluate how variations in life history parameters may change a population's viability. This is particularly important for species that occur as fragmented populations and whose densities are naturally low. Simulations may be used to identify conservation actions that have a higher likelihood of reducing a species' extinction risk. Aims. The aim was to apply population viability models to the northern quoll (Dasyurus hallucatus) under alternative scenarios. Methods. The current (baseline) northern quoll demographic trajectories were evaluated using field-collected data derived from monitoring programs. The impact of alternative scenarios of mortality (for example, due to increased predation by introduced predators) and population supplementation (either from populations elsewhere or from captive breeding) on the viability of a northern quoll population was then determined. Key results. Under current conditions, individual Pilbara populations of northern quoll are projected to persist for over 20 years. However, these populations are sensitive to extinction events. Population growth rate and local extinction risk were most sensitive to changes in juvenile mortality as low as 5% per annum. Increased mortality of the juvenile age cohort above current levels resulted in a projected decline in population size of 22-54%, with a moderate-to-high chance (20-96%) of local extinction within 20 years. Supplementing the population produced a moderate increase in quoll persistence over this time period. Conclusions. Populations of northern quolls in the Pilbara, and potentially elsewhere in their range, are highly sensitive to even small perturbations in juvenile mortality rates. The continued persistence of quoll populations in fragmented refuges is characteristic of a species that functions as a dynamic metapopulation in the face of high environmental perturbations. Implications. Increased juvenile mortality above current levels - for example through the spread of cane toads or invasion of feral cats - may have serious implications for the persistence of the current network of northern quoll populations and other mammals that exhibit population fragmentation in arid environments. Estimates of survival rates for the juvenile cohort of quolls would improve diagnosis of a species' population dynamics as well as inform practitioners of key life-history sensitivities.",,,,,"Moro, Dorian/0000-0003-1621-2676",,,,,,,,,,,,1035-3712,1448-5494,,,,MAR,2019,46,2,,,,,165,175,e0152520,10.1071/WR18010,,,,,,,WOS:000461897600008,,,,,,
J,"Schulte, ML; McLaughlin, DL; Wurster, FC; Balentine, K; Speiran, GK; Aust, WM; Stewart, RD; Varner, JM; Jones, CN",,,,"Schulte, Morgan L.; McLaughlin, Daniel L.; Wurster, Frederic C.; Balentine, Karen; Speiran, Gary K.; Aust, W. Mike; Stewart, Ryan D.; Varner, J. Morgan; Jones, C. Nathan",,,Linking ecosystem function and hydrologic regime to inform restoration of a forested peatland,JOURNAL OF ENVIRONMENTAL MANAGEMENT,,,,,,,,,,,,"Drainage is a globally common disturbance in forested peatlands that impacts peat soils, forest communities, and associated ecosystem functions, calling for informed hydrologic restoration strategies. The Great Dismal Swamp (GDS), located in Virginia and North Carolina, U.S.A., has been altered since colonial times, particularly by extensive ditch networks installed to lower water levels and facilitate timber harvests. Consequently, peat decomposition rates have accelerated, and red maple has become the dominant tree species, reducing the historical mosaic of bald cypress, Atlantic white-cedar, and pocosin stands. Recent repair and installation of water control structures aim to control drainage and, in doing so, enhance forest community composition and preserve peat depths. To help inform these actions, we established five transects of 15 plots each (75 plots total) along a hydrologic gradient where we measured continuous water levels and ecosystem attributes, including peat depths, microtopography, and forest composition and structure. We found significant differences among transects, with wetter sites having thicker peat, lower red maple importance, greater tree density, and higher overall stand richness. Plot-level analyses comported with these trends, clearly grouping plots by transects (via nonmetric multidimensional scaling) and resulting in significant correlations between specific hydrologic metrics and ecosystem attributes. Our findings highlight hydrologic controls on soil carbon storage, forest structure, and maple dominance, with implications for large-scale hydrologic restoration at GDS and in other degraded forested peatlands more broadly.",,,,"Stewart, Ryan D/ABH-2650-2020; Jones, Charles/C-3967-2018","McLaughlin, Daniel/0000-0001-7394-4780; Jones, Charles/0000-0002-5804-0510; Stewart, Ryan/0000-0002-9700-0351",,,,,,,,,,,,0301-4797,1095-8630,,,,MAR 1,2019,233,,,,,,342,351,,10.1016/j.jenvman.2018.12.042,,,,,,,WOS:000459525100036,30590264,,,,,
J,"Dunn, CG; Angermeier, PL",,,,"Dunn, Corey G.; Angermeier, Paul L.",,,Remaining populations of an upland stream fish persist in refugia defined by habitat features at multiple scales,DIVERSITY AND DISTRIBUTIONS,,,,,,,,,,,,"Aim Conserving stream biota could require strategies that preserve habitats conveying resistance to ecological impacts of changing land use and climate. Retrospective analyses of species' responses to anthropogenic disturbances can inform such strategies. We developed a hierarchical framework to contrast environmental conditions underlying persistence versus extirpation of an imperilled stream fish, Candy Darter (Etheostoma osburni), over decades of changing land use. The decline of E. osburni may broadly represent the challenge of conserving sensitive freshwater species in intensively used upland environments. Location New River drainage, Appalachian Mountains, USA. Methods We surveyed fish and habitat in historically occupied sites to identify population refugia, and used multivariate and spatial analyses to address three questions: (a) what are the environmental correlates of refugia? (b) are the pathways by which land use impacts instream habitat constrained by catchment- and/or segment-scale features? and (c) are E. osburni distributional dynamics spatially structured and explained by fine sediment and warm stream temperatures? Results We confirmed a recently localized distribution similar to other upland species, marked by at least seven extirpations from streams throughout E. osburni's southern range. Catchment-scale features primarily constrained land use and finer-scale habitat, leading to either extirpations or population-supporting refugia defined by features at multiple scales. Refugium habitats contained cooler temperatures and less fine sediment. Rare mismatches between persistence and habitat suitability were explained by network location, suggesting unmeasured environmental gradients and/or dispersal contributed to distributional dynamics. Main conclusions We provided insight at multiple spatial scales into how aquatic species' distributions become fragmented and localized. Our results demonstrate that natural landscape heterogeneity imparts spatially variable resistance of sensitive species to intensive land uses. By recognizing the scale-specific features that buffer populations from extirpation, conservation strategies could be tailored to protect naturally occurring refugium habitats and focus restoration in systems where such habitats are broadly lacking.",,,,"Dunn, Corey/S-5485-2019","Dunn, Corey/0000-0002-7102-2165",,,,,,,,,,,,1366-9516,1472-4642,,,,MAR,2019,25,3,,,,,385,399,,10.1111/ddi.12866,,,,,,,WOS:000458429600005,,,,,,
J,"Gauzens, B; Barnes, A; Giling, DP; Hines, J; Jochum, M; Lefcheck, JS; Rosenbaum, B; Wang, SP; Brose, U",,,,"Gauzens, Benoit; Barnes, Andrew; Giling, Darren P.; Hines, Jes; Jochum, Malte; Lefcheck, Jonathan S.; Rosenbaum, Benjamin; Wang, Shaopeng; Brose, Ulrich",,,fluxweb: An R package to easily estimate energy fluxes in food webs,METHODS IN ECOLOGY AND EVOLUTION,,,,,,,,,,,,"Understanding how changes in biodiversity will impact the stability and functioning of ecosystems is a central challenge in ecology. Food web approaches have been advocated to link community composition with ecosystem functioning by describing the fluxes of energy among species or trophic groups. However, estimating such fluxes remain problematic because current methods become unmanageable as network complexity increases. We developed a generalization of previous indirect estimation methods assuming a steady-state system (Hunt et al., ); the model estimates energy fluxes in a top-down manner assuming system equilibrium; each node's losses (consumption and physiological) balances its consumptive gains. Jointly, we provide theoretical and practical guidelines to use the fluxweb R package (available on CRAN at https://cran.rproject.org/web/packages/fluxweb/index.html). We also present how the framework can merge with the allometric theory of ecology (Brown, Gillooly, Allen, Savage, & West, ; to calculate fluxes based on easily obtainable organism-level data (i.e., body masses and species groups-e.g., plants, animals), opening its use to food webs of all complexities. Physiological losses (metabolic losses or losses due to death other than from predation within the food web) may be directly measured or estimated using allometric relationships based on the metabolic theory of ecology, and losses and gains due to predation are a function of ecological efficiencies that describe the proportion of energy that is used for biomass production. The primary output is a matrix of fluxes among the nodes of the food web. These fluxes can be used to describe the role of a species, a function of interest (e.g., predation; total fluxes to predators), multiple functions, or total energy flux (system throughflow or multitrophic functioning). Additionally, the package includes functions to calculate network stability based on the Jacobian matrix, providing insight into how resilient the network is to small perturbations at steady state. Overall, fluxweb provides a flexible set of functions that greatly increase the feasibility of implementing food web energetic approaches to more complex systems. As such, the package facilitates novel opportunities for mechanistically linking quantitative food webs and ecosystem functioning in real and dynamic natural landscapes.",,,,"Brose, Ulrich/AAT-7547-2020; Wang, Shaopeng/J-7091-2012; Barnes, Andrew/AAQ-9592-2020","Brose, Ulrich/0000-0001-9156-583X; Barnes, Andrew/0000-0002-6499-381X; Giling, Darren P./0000-0002-9843-4362; Rosenbaum, Benjamin/0000-0002-2815-0874; Lefcheck, Jonathan/0000-0002-8787-1786",,,,,,,,,,,,2041-210X,2041-2096,,,,FEB,2019,10,2,,,,,270,279,,10.1111/2041-210X.13109,,,,,,,WOS:000459020800010,,,,,,
J,"Kortsch, S; Primicerio, R; Aschan, M; Lind, S; Dolgov, AV; Planque, B",,,,"Kortsch, Susanne; Primicerio, Raul; Aschan, Michaela; Lind, Sigrid; Dolgov, Andrey V.; Planque, Benjamin",,,Food-web structure varies along environmental gradients in a high-latitude marine ecosystem,ECOGRAPHY,,,,,,,,,,,,"Large-scale patterns in species diversity and community composition are associated with environmental gradients, but the implications of these patterns for food-web structure are still unclear. Here, we investigated how spatial patterns in food-web structure are associated with environmental gradients in the Barents Sea, a highly productive shelf sea of the Arctic Ocean. We compared food webs from 25 subregions in the Barents Sea and examined spatial correlations among food-web metrics, and between metrics and spatial variability in seawater temperature, bottom depth and number of days with ice cover. Several food-web metrics were positively associated with seawater temperature: connectance, level of omnivory, clustering, cannibalism, and high variability in generalism, while other food-web metrics such as modularity and vulnerability were positively associated with sea ice and negatively with temperature. Food-web metrics positively associated with habitat heterogeneity were: number of species, link density, omnivory, path length, and trophic level. This finding suggests that habitat heterogeneity promotes food-web complexity in terms of number of species and link density. Our analyses reveal that spatial variation in food-web structure along the environmental gradients is partly related to species turnover. However, the higher interaction turnover compared to species turnover along these gradients indicates a consistent modification of food-web structure, implying that interacting species may co-vary in space. In conclusion, our study shows how environmental heterogeneity, via environmental filtering, influences not only turnover in species composition, but also the structure of food webs over large spatial scales.",,,,"Kortsch, Susanne/AAA-2231-2020; Lind, Sigrid/E-6675-2012; Dolgov, Andrey/D-3708-2012; Planque, Benjamin/D-2729-2013","Dolgov, Andrey/0000-0002-4806-3284; Aschan, Michaela/0000-0002-9276-9321; Lind, Sigrid/0000-0002-8805-6652; Planque, Benjamin/0000-0002-0557-7410",,,,,,,,,,,,0906-7590,1600-0587,,,,FEB,2019,42,2,,,SI,,295,308,,10.1111/ecog.03443,,,,,,,WOS:000457469100007,,,,,,
J,"Svensson, J; Andersson, J; Sandstrom, P; Mikusinski, G; Jonsson, BG",,,,"Svensson, Johan; Andersson, Jon; Sandstrom, Per; Mikusinski, Grzegorz; Jonsson, Bengt Gunnar",,,Landscape trajectory of natural boreal forest loss as an impediment to green infrastructure,CONSERVATION BIOLOGY,,,,,,,,,,,,"Loss of natural forests by forest clearcutting has been identified as a critical conservation challenge worldwide. This study addressed forest fragmentation and loss in the context of the establishment of a functional green infrastructure as a spatiotemporally connected landscape-scale network of habitats enhancing biodiversity, favorable conservation status, and ecosystem services. Through retrospective analysis of satellite images, we assessed a 50- to 60-year spatiotemporal clearcutting impact trajectory on natural and near-natural boreal forests across a sizable and representative region from the Gulf of Bothnia to the Scandinavian Mountain Range in northern Fennoscandia. This period broadly covers the whole forest clearcutting period; thus, our approach and results can be applied to comprehensive impact assessment of industrial forest management. The entire study region covers close to 46,000 km(2) of forest-dominated landscape in a late phase of transition from a natural or near-natural to a land-use modified state. We found a substantial loss of intact forest, in particular of large, contiguous areas, a spatial polarization of remaining forest on regional scale where the inland has been more severely affected than the mountain and coastal zones, and a pronounced impact on interior forest core areas. Salient results were a decrease in area of the largest intact forest patch from 225,853 to 68,714 ha in the mountain zone and from 257,715 to 38,668 ha in the foothills zone, a decrease from 75% to 38% intact forest in the inland zones, a decrease in largest patch core area (assessed by considering 100-m patch edge disturbance) from 6114 to 351 ha in the coastal zone, and a geographic imbalance in protected forest with an evident predominance in the mountain zone. These results demonstrate profound disturbance of configuration of the natural forest landscape and disrupted connectivity, which challenges the establishment of functional green infrastructure. Our approach supports the identification of forests for expanded protection and conservation-oriented forest landscape restoration.",,,,,,,,,,,,,,,,,0888-8892,1523-1739,,,,FEB,2019,33,1,,,,,152,163,,10.1111/cobi.13148,,,,,,,WOS:000455121500016,29882221,,,,,
J,"Phelps, D; Kelly, D",,,,"Phelps, David; Kelly, Dana",,,Overcoming drought vulnerability in rangeland communities: lessons from central-western Queensland,RANGELAND JOURNAL,,,,,,,,,,,,"Drought and climate variability are an increasing global problem, especially in rangelands which may lack robust socioeconomic systems. Vulnerability is being applied in drought and climate change policy theory, by describing exposure and sensitivity factors, and adaptive capacity. In this paper we examine these vulnerability factors in central-western Queensland (CWQ), Australia, as a case study to test the idea that vulnerability and resilience must be considered together to build strong and enduring rangeland communities. The region's economy and employment are strongly coupled with rain-fed agriculture. Drought is a key risk to CWQ communities, with 13 extended droughts recorded since 1898. The region has been officially in drought since 2013 following well below-average rainfall, and remains in drought in 2019. The impact has led to reductions in town business turnover of 30-60%, loss of livelihoods and outmigration of 20%. Outmigration corresponds to the recent periods of drought. Social networks have been destabilised, highlighting that the cascading impacts of drought are complex, interrelated and affect the whole community. Regionally led responses have helped to re-build social cohesion, provide mental health support and stimulate economic activity and employment. These actions provide examples of a systemic, whole-of-community approach, that (1) captures place-based advantages; (2) enhances internal and external socioeconomic networks; (3) engages meaningfully through multi-level consultation; and (4) seeks to build sustained financial investment. A common theme of success is partnerships which provide external support for regionally-identified issues and solutions. There has been considerable investment of public, philanthropic and private funds in drought relief and infrastructure programs. This has occurred through a whole-of-community approach, and suggests a move towards policy which aims to build long-term regional resilience. CWQ has linked vulnerability and resilience by asking of both internally and externally led drought relief will this action build or undermine community resilience'. This approach could also be applied to the design of drought policies and responses in other rangeland regions.",,,,"Phelps, David/J-8990-2019",,,,,,,,,,,,,1036-9872,1834-7541,,,,,2019,41,3,,,,,251,270,,10.1071/RJ18052,,,,,,,WOS:000476797500010,,,,,,
J,"Hooper, R; Brealey, JC; van der Valk, T; Alberdi, A; Durban, JW; Fearnbach, H; Robertson, KM; Baird, RW; Hanson, MB; Wade, P; Gilbert, MTP; Morin, PA; Wolf, JBW; Foote, AD; Guschanski, K",,,,"Hooper, Rebecca; Brealey, Jaelle C.; van der Valk, Tom; Alberdi, Antton; Durban, John W.; Fearnbach, Holly; Robertson, Kelly M.; Baird, Robin W.; Hanson, M. Bradley; Wade, Paul; Gilbert, M. Thomas P.; Morin, Phillip A.; Wolf, Jochen B. W.; Foote, Andrew D.; Guschanski, Katerina",,,Host-derived population genomics data provides insights into bacterial and diatom composition of the killer whale skin,MOLECULAR ECOLOGY,,,,,,,,,,,,"Recent exploration into the interactions and relationship between hosts and their microbiota has revealed a connection between many aspects of the host's biology, health and associated micro-organisms. Whereas amplicon sequencing has traditionally been used to characterize the microbiome, the increasing number of published population genomics data sets offers an underexploited opportunity to study microbial profiles from the host shotgun sequencing data. Here, we use sequence data originally generated from killer whale Orcinus orca skin biopsies for population genomics, to characterize the skin microbiome and investigate how host social and geographical factors influence the microbial community composition. Having identified 845 microbial taxa from 2.4 million reads that did not map to the killer whale reference genome, we found that both ecotypic and geographical factors influence community composition of killer whale skin microbiomes. Furthermore, we uncovered key taxa that drive the microbiome community composition and showed that they are embedded in unique networks, one of which is tentatively linked to diatom presence and poor skin condition. Community composition differed between Antarctic killer whales with and without diatom coverage, suggesting that the previously reported episodic migrations of Antarctic killer whales to warmer waters associated with skin turnover may control the effects of potentially pathogenic bacteria such as Tenacibaculum dicentrarchi. Our work demonstrates the feasibility of microbiome studies from host shotgun sequencing data and highlights the importance of metagenomics in understanding the relationship between host and microbial ecology.",,,,"Baird, Robin/Y-8230-2019; Alberdi, Antton/M-2423-2017; Morin, Phillip A/E-9515-2010; Gilbert, Marcus/A-8936-2013; Wolf, Jochen/U-2243-2017","Alberdi, Antton/0000-0002-2875-6446; Foote, Andy/0000-0001-7384-1634; Gilbert, Marcus/0000-0002-5805-7195; Wolf, Jochen/0000-0002-2958-5183; Brealey, Jaelle/0000-0001-7068-2017; Baird, Robin/0000-0002-9419-6336; Hooper, Rebecca/0000-0003-1042-1688",,,,,,,,,,,,0962-1083,1365-294X,,,,JAN,2019,28,2,,,SI,,484,502,,10.1111/mec.14860,,,,,,,WOS:000459345000024,30187987,,,,,
J,"Stralberg, D; Camfield, AF; Carlson, M; Lauzon, C; Westwood, A; Barker, NKS; Song, SJ; Schmiegelow, FKA",,,,"Stralberg, Diana; Camfield, Alaine F.; Carlson, Matthew; Lauzon, Christopher; Westwood, Alana; Barker, Nicole K. S.; Song, Samantha J.; Schmiegelow, Fiona K. A.",,,Strategies for identifying priority areas for songbird conservation in Canada's boreal forest,AVIAN CONSERVATION AND ECOLOGY,,,,,,,,,,,,"Canada's boreal forest region is among the most extensive and largely intact ecosystems on earth, but has experienced rapid industrial development in the last half-century. Calls for urgent conservation action have been prompted by the increasing pace of development and declines in biodiversity, including songbirds. To assist conservation decision making, we introduce a framework to facilitate selection of the highest priority areas for a given conservation objective. We varied six key decision points representing possible constraints or a priori conservation factors: (1) prioritization metric (species representation vs. diversity), (2) geographic stratification, (3) degree of anthropogenic disturbance, (4) species' conservation status, (5) species' ecological association, and (6) climate-change and uncertainty discounting. Using the Zonation conservation planning tool, we evaluated landbird conservation priorities across 128 scenarios for 63 passerine species based on current and projected future density predictions. We compared Zonation land rankings across scenarios with respect to consistency, efficiency (additive and proportional conservation value per unit area), and the relative contributions of each of the six factors of interest. We found large differences between solutions depending on constraints and conservation objectives, and relatively low conservation efficiency overall, with the largest gains in overall conservation value observed in areas ranging from 0.31-0.56 of the study region. This reflects the large range of conservation opportunities still present in the Canadian boreal region, and the widely dispersed nature of landbird distributions, which results in high substitutability among similar areas. However, we did find increasing consistency among solutions as multiple constraints were considered. In particular, stratifying solutions geographically resulted in more consistent priorities, although at the expense of efficiency. Other constraints, including climate change, disturbance- and uncertainty-discounting, and the selection and weighting of species, helped to further focus priorities. Although no single scenario can be viewed as prescriptive, we provide a roadmap for prioritizing boreal songbird conservation efforts across multiple conservation objectives.",,,,"Stralberg, Diana/W-9267-2019","Stralberg, Diana/0000-0003-4900-024X",,,,,,,,,,,,1712-6568,,,,,DEC,2018,13,2,,,,,,,12,10.5751/ACE-01303-130212,,,,,,,WOS:000457478800013,,,,,,
J,"Hermosillo-Nunez, BB; Ortiz, M; Rodriguez-Zaragoza, FA; Cupul-Magana, AL",,,,"Hermosillo-Nunez, Brenda B.; Ortiz, Marco; Rodriguez-Zaragoza, Fabian A.; Cupul-Magana, Amilcar L.",,,Trophic network properties of coral ecosystems in three marine protected areas along the Mexican Pacific Coast: Assessment of systemic structure and health,ECOLOGICAL COMPLEXITY,,,,,,,,,,,,"Trophic models were constructed to assess the systemic structure, organisation and health of coral ecosystems in three marine protected areas (MPAs) along the Mexican tropical Pacific Coast. Likewise, the degree of resistance of the model-systems and the compartments most sensitive after perturbations were also evaluated. The biomass of the Rhodophyta group was the most abundant compartment in Isla Isabel National Park (IINP) and Islas Marietas National Park (IMNP), whilst the Phytoplankton group had the highest biomass in Sanctuary of Islands and Islets of Bahia Chamela (SIIBC). Based on the magnitudes of Total System Throughput (TST), Ascendency (A), Overhead (Ov), Capacity (C), Average Mutual Information (AMI), Finn's Cycling Index (FCI) and the Total Biomass/Total System Throughput (TB/TST) ratio, IINP was more mature, organised, developed and healthy than IMNP and SIIBC. Phytoplankton, Detritus and Zooplankton contributed >60% of the total Ascendency, whereas Jacks and Octopus sp. accounted for the complexity of the three MPA model systems. The outcomes of the propagated impacts, using Mixed Trophic Impacts (MTI) and short-term Ecosim simulations (under three levels of mortality: 10%, 30% and 50%), showed that the Groupers (i.e., exploited fish), Omnivorous Fish, Rhodophyta, Large Epifauna and Phytoplankton produced the highest impacts on the remaining compartments of the three model systems. The average System Recovery Time (SRT) suggested that SIIBC was less resilient to disturbances compared with IINP and IMNP. Based on the outcomes, we suggest that the marine zones adjacent to IINP should be included in the Mexican Management Program to create a buffer zone for these coral ecosystems. Likewise, IMNP and SIIBC should be candidates for a putative monitoring programme to assess the trajectory of the systemic health of coral ecosystems. Finally, the trajectories of exploited species should be monitored because they constitute compartments that have relevant roles in the structure and trophic functioning of the three MPAs.",,,,"; Rodriguez Zaragoza, Fabian Alejandro/B-3477-2015","Hermosillo-Nunez, Brenda B./0000-0003-3308-0257; Rodriguez Zaragoza, Fabian Alejandro/0000-0002-0066-4275",,,,,,,,,,,,1476-945X,1476-9840,,,,DEC,2018,36,,,,,,73,85,,10.1016/j.ecocom.2018.06.005,,,,,,,WOS:000455065400008,,,,,,
J,"Adedoja, O; Kehinde, T",,,,"Adedoja, Opeyemi; Kehinde, Temitope",,,Changes in interaction network topology and species composition of flower-visiting insects across three land use types,AFRICAN JOURNAL OF ECOLOGY,,,,,,,,,,,,"Land use change is a leading factor in the cause of pollinator decline globally. The response of flower-visiting insects to habitat transformation and disturbance has been well studied. However, the effect of these anthropogenic disturbances on the structure of insect-flower interaction networks is not well known. We examined how insect-flower interaction network topology changes across land use types with varying levels of disturbance. Three replicates of agricultural lands, grasslands and secondary forest habitats were sampled on a monthly basis for 12 months. The highest mean abundance of flower-visiting insects and flowering plants was observed in the secondary forest and the lowest record was found on agricultural lands. Furthermore, networks in secondary forests had a higher mean number of interactions, network size and nestedness compared to those observed in agricultural fields. Flower abundance was positively correlated with the number of interactions and network specialization. The significantly higher value of the qualitative and quantitative network indices in the secondary forests underscores the ecological importance of this land use type for conservation of insect-flower interactions in highly fragmented landscapes in the tropics such as the one studied here. Conservation efforts should concentrate on increasing the abundance of floral resources as changes in important network indices were mediated by flower abundance across the land use types.",,,,,"Adedoja, Opeyemi/0000-0001-6163-3424",,,,,,,,,,,,0141-6707,1365-2028,,,,DEC,2018,56,4,,,SI,,964,971,,10.1111/aje.12527,,,,,,,WOS:000451574200031,,,,,,
J,"Treglia, ML; Landon, AC; Fisher, RN; Kyle, G; Fitzgerald, LA",,,,"Treglia, Michael L.; Landon, Adam C.; Fisher, Robert N.; Kyle, Gerard; Fitzgerald, Lee A.",,,Multi-scale effects of land cover and urbanization on the habitat suitability of an endangered toad,BIOLOGICAL CONSERVATION,,,,,,,,,,,,"Habitat degradation, entwined with land cover change, is a major driver of biodiversity loss. Effects of land cover change on species can be direct (when habitat is converted to alternative land cover types) or indirect (when land outside of the species habitat is altered). Hydrologic and ecological connections between terrestrial and aquatic systems are well understood, exemplifying how spatially disparate land cover conditions may influence aquatic habitats, but are rarely examined. We sought to quantify relative effects of land cover at two different but interacting scales on habitat suitability for the endangered arroyo toad (Anaxyrus californicus). Based on an existing distribution model for the arroyo toad and available land cover data, we estimated effects of land cover along streams and within entire watersheds on habitat suitability using structural equation modeling. Relationships between land cover and habitat suitability differed between scales, and broader, watershed-scale conditions influenced land cover along the embedded stream networks. We found anthropogenic development and forest cover at the watershed-scale negatively impacted habitat suitability, but development along stream networks was positively associated with suitability. The positive association between development along streams and habitat suitability may be attributable to increased spatial heterogeneity along urbanized streams, or related factors including policies designed to conserve riparian habitats amidst development. These findings show arroyo toad habitat is influenced by land cover across multiple scales, and can inform conservation of the species. Furthermore, our methodology can help elucidate similar dynamics with other taxa, particularly those reliant on both terrestrial and aquatic environments.",,,,"Kyle, Gerard T./O-9934-2019","Kyle, Gerard T./0000-0002-6944-9020; Treglia, Michael/0000-0001-5231-2223",,,,,,,,,,,,0006-3207,1873-2917,,,,DEC,2018,228,,,,,,310,318,,10.1016/j.biocon.2018.10.032,,,,,,,WOS:000452815200034,,,,,,
J,"Koontz, ED; Steel, EA; Olden, JD",,,,"Koontz, Elliot D.; Steel, E. Ashley; Olden, Julian D.",,,Stream thermal responses to wildfire in the Pacific Northwest,FRESHWATER SCIENCE,,,,,,,,,,,,"Wildfire disturbance is one of the most prevalent forces of ecological change in freshwater environments. Studies of stream temperature responses to wildfire disturbance are often limited to individual watersheds or burn events, resulting in an incomplete understanding of: 1) how wildfires affect stream temperature at broader spatial scales and 2) which environmental and pyrological factors are important predictors of thermal responses. We analyzed long-term temperature monitoring data from 18 fire-affected streams across the Pacific Northwest We used a nonparametric effect-size approach to quantify response patterns among 26 metrics describing the thermal regime (magnitude, variability, frequency, and timing of thermal events) in the 1st postfire year. We used multivariate ordination and spatially explicit data on pyrological, hydrological, and meteorological conditions to identify potential drivers of thermal sensitivity to wildfire effects in disturbed watersheds. Thermal responses were highly variable at the site level, but, in general, streams of the Pacific Northwest are prone to increased frequency of warmer temperatures and decreased frequency of cooler temperatures in the year after a wildfire. Redundancy analysis showed that 30 to 55% of the variation in stream temperature responses was equally explained by pyrological, hydrological, and meteorological conditions. Mean annual precipitation, % watershed burned, and mean annual flow were primary factors shaping thermal response to wildfire, but the relative importance of these potential drivers varied among aspects of the thermal regime. Our study provides new insight into the regional influence of wildfire on stream thermal regimes and indicates that wildfire could exacerbate climate-induced warming in streams. Further investigation of the interactions among wildfire, hydrology, and climatic processes and enhanced stream network monitoring are needed to manage fresh waters in a future characterized by more severe and frequent wildfire activity.",,,,"Olden, Julian D/A-8535-2010","Olden, Julian/0000-0003-2143-1187",,,,,,,,,,,,2161-9549,2161-9565,,,,DEC,2018,37,4,,,,,731,746,,10.1086/700403,,,,,,,WOS:000450678000003,,,,,,
J,"Deane, DC; He, FL",,,,"Deane, David C.; He, Fangliang",,,Loss of only the smallest patches will reduce species diversity in most discrete habitat networks,GLOBAL CHANGE BIOLOGY,,,,,,,,,,,,"Under many global-change scenarios, small habitat patches are the most vulnerable to destruction. For example, smaller ponds are at greater risk in a drying climate and their loss would remove any obligate aquatic individuals present. We asked what proportional loss of species diversity from metacommunities comprised of discrete habitat patches should be expected from attrition (complete loss) of only the smallest patches under such a premise. We analyzed 175 published datasets for different taxonomic groups (vertebrates, invertebrates, and plants) and habitat types (islands, habitat islands, and fragments). We simulated the destruction of only the smallest patches to an approximate 20% of total area (range: 15.2%-24.2%) and analyzed species loss. Mean [+/- 95% CI] species loss was 12.7% [10.8, 14.6], although 18.3% of datasets lost no species. Four broad patterns of species loss were evident, reflecting underlying differences in minimum area requirements and the degree of species turnover among patches. Regression modeling showed species loss increased with greater species turnover among patches (beta(SIM)) and decreased with greater area scaling of diversity (i.e., larger power-law island species-area relationship exponents). Losses also increased with greater numbers of single-patch endemics and with increasing proportions of patches destroyed. After accounting for these predictors, neither taxonomic group nor habitat type increased explained variation in species loss. Attrition of the smallest patches removed species in >80% of metacommunities, despite all larger patches and >75% of total area remaining intact. At both 10% and 20% area reduction, median species loss across all datasets was around 50% higher than predicted from methods based on the species-area relationship. We conclude that any mechanism of global change that selectively destroys small habitat patches will lead to imminent extinctions in most discrete metacommunities.",,,,"Deane, DC/C-5854-2017","Deane, DC/0000-0003-2144-624X",,,,,,,,,,,,1354-1013,1365-2486,,,,DEC,2018,24,12,,,,,5802,5814,,10.1111/gcb.14452,,,,,,,WOS:000449650600017,30238565,,,,,
