"","study","species","treatment","replicate","nodeID","degree","betweenness_centrality","eigenvector_centrality"
"57","LattanzioMiles","tree lizards","no burn","","CU159",7,0.00404858299595142,0.999999999999999
"58","LattanzioMiles","tree lizards","no burn","","CU162",6,0.360012457178449,0.171430451126928
"59","LattanzioMiles","tree lizards","no burn","","CU165",5,0,0.101692125872758
"60","LattanzioMiles","tree lizards","no burn","","CU167",7,0.296169417626908,0.818207077651331
"61","LattanzioMiles","tree lizards","no burn","","CU170",6,0.352538150109,0.163718215389914
"62","LattanzioMiles","tree lizards","no burn","","CU171",4,0.0560573030208658,0.0469232365137466
"63","LattanzioMiles","tree lizards","no burn","","CU174",5,0.0379943942696979,0.743091965302863
"64","LattanzioMiles","tree lizards","no burn","","CU175",4,0,0.186633411033321
"65","LattanzioMiles","tree lizards","no burn","","CU177",4,0,0.158524413277967
"66","LattanzioMiles","tree lizards","no burn","","CU180",5,0.222360635316101,0.154841200253812
"67","LattanzioMiles","tree lizards","no burn","","CU185",1,0,1.41726036892464e-06
"68","LattanzioMiles","tree lizards","no burn","","CU187",3,0.36624104640299,1.06768671409529e-05
"69","LattanzioMiles","tree lizards","no burn","","CU45",4,1,0.140456396486679
"70","LattanzioMiles","tree lizards","no burn","","CU53",7,0.00404858299595142,1
"71","LattanzioMiles","tree lizards","no burn","","CU92",5,0,0.100720151516671
"72","LattanzioMiles","tree lizards","no burn","","CU95",8,0.255683587667393,0.675441115005506
"73","LattanzioMiles","tree lizards","no burn","","CU96",8,0.517595764559327,0.599345586046384
"74","LattanzioMiles","tree lizards","no burn","","CU78",3,0.373715353472439,0.0141395932458459
"75","LattanzioMiles","tree lizards","no burn","","CU143",3,0.515727187791965,0.000131200643989699
"76","LattanzioMiles","tree lizards","no burn","","CU178",4,0,0.158524413277967
"77","LattanzioMiles","tree lizards","no burn","","CU184",1,0,0
"78","LattanzioMiles","tree lizards","no burn","","CU58",1,0,0
"79","LattanzioMiles","tree lizards","no burn","","CU114",4,0,0.0692227032688283
