"","Study","Animal","Treatment","GroupID","NetworkID","NodeID","BetweennessCentrality","EigenvectorCentrality","Degree"
"47","Stickleback","Stickleback","Post","1","1","7","0.0","1.0000000","7"
"48","Stickleback","Stickleback","Post","1","1","8","0.0","0.8445789","7"
"49","Stickleback","Stickleback","Post","2","2","1","0.0","0.9719645","7"
"50","Stickleback","Stickleback","Post","2","2","2","0.0","1.0000000","7"
"51","Stickleback","Stickleback","Post","2","2","3","0.0","0.9646775","7"
"52","Stickleback","Stickleback","Post","2","2","4","0.0","0.7878185","7"
"53","Stickleback","Stickleback","Post","2","2","5","0.0","0.9451097","7"
"54","Stickleback","Stickleback","Post","2","2","6","6.5","0.6078792","7"
"55","Stickleback","Stickleback","Post","2","2","7","0.0","0.8142784","7"
"56","Stickleback","Stickleback","Post","2","2","8","0.0","0.8435326","7"
"57","Stickleback","Stickleback","Post","3","3","1","0.0","0.9312533","7"
"58","Stickleback","Stickleback","Post","3","3","2","0.0","0.8357536","7"
"59","Stickleback","Stickleback","Post","3","3","3","0.0","0.7658094","7"
"60","Stickleback","Stickleback","Post","3","3","4","0.0","0.8863799","7"
"61","Stickleback","Stickleback","Post","3","3","5","0.0","0.9327120","7"
"62","Stickleback","Stickleback","Post","3","3","6","0.0","1.0000000","7"
"63","Stickleback","Stickleback","Post","3","3","7","0.0","0.9016649","7"
"64","Stickleback","Stickleback","Post","3","3","8","0.0","0.9868626","7"
"65","Stickleback","Stickleback","Post","4","4","1","1.0","0.6971832","7"
"66","Stickleback","Stickleback","Post","4","4","2","2.0","0.7112575","7"
"67","Stickleback","Stickleback","Post","4","4","3","0.0","1.0000000","7"
"68","Stickleback","Stickleback","Post","4","4","4","0.0","0.9313944","7"
"69","Stickleback","Stickleback","Post","4","4","5","0.0","0.9409604","7"
"70","Stickleback","Stickleback","Post","4","4","6","0.0","0.8588045","7"
"71","Stickleback","Stickleback","Post","4","4","7","0.0","0.8631261","7"
"72","Stickleback","Stickleback","Post","4","4","8","0.0","0.9143643","7"
"73","Stickleback","Stickleback","Post","5","5","1","0.0","0.9996923","7"
"74","Stickleback","Stickleback","Post","5","5","2","0.0","0.9495983","7"
"75","Stickleback","Stickleback","Post","5","5","3","0.0","0.7220583","7"
"76","Stickleback","Stickleback","Post","5","5","4","0.0","0.6792755","7"
"77","Stickleback","Stickleback","Post","5","5","5","0.0","0.9729858","7"
"78","Stickleback","Stickleback","Post","5","5","6","0.0","0.8672443","7"
"79","Stickleback","Stickleback","Post","5","5","7","0.0","1.0000000","7"
"80","Stickleback","Stickleback","Post","5","5","8","0.0","0.9874585","7"
