GroupID,IndividualID,RiskTreatment,Block,Length_cm,Approached,ApproachLatency,Solved,SolveLatency,TimesEntered
L15,L153,LowRisk,D,1.91,1,489,1,779,2
L15,L154,LowRisk,D,1.93,1,391,1,422,4
L15,L155,LowRisk,D,1.81,1,533,1,573,6
L15,L156,LowRisk,D,1.94,1,392,1,592,8
L15,L157,LowRisk,D,1.97,1,396,1,778,3
L15,L158,LowRisk,D,1.9,1,462,1,779,3
L16,L161,LowRisk,D,1.93,1,33,1,368,1
L16,L162,LowRisk,D,1.88,1,166,0,,0
L16,L163,LowRisk,D,1.99,1,266,0,,0
L16,L164,LowRisk,D,2.03,1,131,0,,0
L16,L165,LowRisk,D,2.06,1,164,0,,0
L16,L166,LowRisk,D,1.91,1,277,0,,0
L16,L167,LowRisk,D,2,1,129,0,,0
H1,H11,HighRisk,A,2.04,0,,0,,0
H1,H12,HighRisk,A,1.88,1,1058,0,,0
H1,H13,HighRisk,A,1.98,0,,0,,0
H1,H14,HighRisk,A,2.02,0,,0,,0
H1,H15,HighRisk,A,2.03,0,,0,,0
H1,H16,HighRisk,A,2.07,0,,0,,0
H1,H17,HighRisk,A,1.87,0,,0,,0
H1,H18,HighRisk,A,1.89,0,,0,,0
H2,H21,HighRisk,A,2.43,1,1108,0,,0
H2,H22,HighRisk,A,2.43,1,466,0,,0
H2,H23,HighRisk,A,2.37,0,,0,,0
H2,H24,HighRisk,A,2.42,1,903,0,,0
H2,H25,HighRisk,A,2.31,0,,0,,0
H2,H26,HighRisk,A,2.45,0,,0,,0
H2,H27,HighRisk,A,2.28,0,,0,,0
H2,H28,HighRisk,A,2.44,0,,0,,0
H3,H31,HighRisk,A,2.37,1,1157,0,,0
H3,H32,HighRisk,A,2.29,0,,0,,0
H3,H33,HighRisk,A,2.28,0,,0,,0
H3,H34,HighRisk,A,2.34,0,,0,,0
H3,H35,HighRisk,A,2.24,0,,0,,0
H3,H36,HighRisk,A,2.22,0,,0,,0
H3,H37,HighRisk,A,2.17,1,763,0,,0
H3,H38,HighRisk,A,2.29,0,,0,,0
H4,H41,HighRisk,A,1.78,0,,0,,0
H4,H42,HighRisk,A,1.88,0,,0,,0
H4,H43,HighRisk,A,1.9,0,,0,,0
H4,H44,HighRisk,A,1.89,0,,0,,0
H4,H45,HighRisk,A,1.85,0,,0,,0
H4,H46,HighRisk,A,1.77,0,,0,,0
H4,H47,HighRisk,A,1.82,0,,0,,0
H4,H48,HighRisk,A,1.75,0,,0,,0
H5,H51,HighRisk,B,1.87,1,460,0,,0
H5,H52,HighRisk,B,1.79,1,727,0,,0
H5,H53,HighRisk,B,1.88,1,682,0,,0
H5,H54,HighRisk,B,1.93,1,40,0,,0
H5,H55,HighRisk,B,1.84,1,475,0,,0
H5,H56,HighRisk,B,1.85,1,420,0,,0
H5,H57,HighRisk,B,1.89,1,646,0,,0
H5,H58,HighRisk,B,1.82,1,684,0,,0
H6,H61,HighRisk,B,1.73,1,1105,0,,0
H6,H62,HighRisk,B,1.72,0,,0,,0
H6,H63,HighRisk,B,1.77,0,,0,,0
H6,H64,HighRisk,B,1.75,0,,0,,0
H6,H65,HighRisk,B,1.77,0,,0,,0
H6,H66,HighRisk,B,1.72,0,,0,,0
H6,H67,HighRisk,B,1.68,0,,0,,0
H6,H68,HighRisk,B,1.64,0,,0,,0
H7,H71,HighRisk,B,1.88,0,,0,,0
H7,H72,HighRisk,B,1.92,0,,0,,0
H7,H73,HighRisk,B,1.95,0,,0,,0
H7,H74,HighRisk,B,1.87,0,,0,,0
H7,H75,HighRisk,B,1.84,0,,0,,0
H7,H76,HighRisk,B,1.96,0,,0,,0
H7,H77,HighRisk,B,1.88,0,,0,,0
H7,H78,HighRisk,B,1.81,0,,0,,0
H8,H81,HighRisk,B,1.82,1,77,0,,0
H8,H82,HighRisk,B,1.71,1,830,0,,0
H8,H83,HighRisk,B,1.64,1,1098,0,,0
H8,H84,HighRisk,B,1.64,1,898,0,,0
H8,H85,HighRisk,B,1.75,1,442,0,,0
H8,H86,HighRisk,B,1.65,1,442,0,,0
H8,H87,HighRisk,B,1.64,1,81,0,,0
H9,H91,HighRisk,C,1.98,1,294,1,509,6
H9,H92,HighRisk,C,2.04,1,254,1,503,8
H9,H93,HighRisk,C,1.91,1,127,1,498,2
H9,H94,HighRisk,C,2.09,1,295,1,377,7
H9,H95,HighRisk,C,1.89,1,47,0,,0
H9,H96,HighRisk,C,1.9,1,255,1,993,2
H9,H97,HighRisk,C,1.89,1,418,0,,0
H9,H98,HighRisk,C,1.91,1,276,1,1192,1
H10,H101,HighRisk,C,1.84,0,,0,,0
H10,H102,HighRisk,C,1.84,0,,0,,0
H10,H103,HighRisk,C,1.85,0,,0,,0
H10,H104,HighRisk,C,1.85,0,,0,,0
H10,H105,HighRisk,C,1.79,0,,0,,0
H10,H106,HighRisk,C,1.77,0,,0,,0
H10,H107,HighRisk,C,1.82,1,1,0,,0
H10,H108,HighRisk,C,1.68,0,,0,,0
H11,H111,HighRisk,C,1.97,1,955,1,1039,1
H11,H112,HighRisk,C,2.07,0,,0,,0
H11,H113,HighRisk,C,1.94,1,1185,0,,0
H11,H114,HighRisk,C,1.94,0,,0,,0
H11,H115,HighRisk,C,1.87,1,966,0,,0
H11,H116,HighRisk,C,1.87,1,58,1,1037,1
H11,H117,HighRisk,C,1.88,1,955,1,1040,1
H11,H118,HighRisk,C,1.89,1,91,1,95,2
H12,H121,HighRisk,C,1.82,1,543,0,,0
H12,H122,HighRisk,C,1.83,1,384,1,593,1
H12,H123,HighRisk,C,1.81,1,603,0,,0
H12,H124,HighRisk,C,1.84,1,512,0,,0
H12,H125,HighRisk,C,1.79,1,230,1,570,2
H12,H126,HighRisk,C,1.85,1,327,1,573,2
H12,H127,HighRisk,C,1.82,1,241,1,412,7
H12,H128,HighRisk,C,1.76,1,460,1,535,4
H13,H131,HighRisk,D,2.08,1,424,0,,0
H13,H132,HighRisk,D,2.13,1,451,0,,0
H13,H133,HighRisk,D,2.04,1,415,0,,0
H13,H134,HighRisk,D,1.93,1,427,0,,0
H13,H135,HighRisk,D,2.03,1,432,0,,0
H13,H136,HighRisk,D,1.97,1,497,0,,0
H13,H137,HighRisk,D,1.96,1,423,0,,0
H14,H141,HighRisk,D,2.06,0,,0,,0
H14,H142,HighRisk,D,1.97,0,,0,,0
H14,H143,HighRisk,D,2.01,0,,0,,0
H14,H144,HighRisk,D,1.96,0,,0,,0
H14,H145,HighRisk,D,2.05,0,,0,,0
H14,H146,HighRisk,D,1.93,0,,0,,0
H14,H147,HighRisk,D,1.96,0,,0,,0
H14,H148,HighRisk,D,1.89,0,,0,,0
H15,H151,HighRisk,D,2.09,0,,0,,0
H15,H152,HighRisk,D,1.98,0,,0,,0
H15,H153,HighRisk,D,2.08,0,,0,,0
H15,H154,HighRisk,D,2.13,0,,0,,0
H15,H155,HighRisk,D,2.15,0,,0,,0
H15,H156,HighRisk,D,1.99,0,,0,,0
H15,H157,HighRisk,D,1.95,0,,0,,0
H15,H158,HighRisk,D,1.96,0,,0,,0
H16,H161,HighRisk,D,1.85,1,481,0,,0
H16,H162,HighRisk,D,1.92,1,450,0,,0
H16,H163,HighRisk,D,1.82,1,450,0,,0
H16,H164,HighRisk,D,1.87,1,484,0,,0
H16,H165,HighRisk,D,1.92,0,,0,,0
H16,H166,HighRisk,D,1.82,1,480,0,,0
H16,H167,HighRisk,D,1.93,1,450,0,,0
H16,H168,HighRisk,D,2.02,1,488,0,,0
